INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.server.AsyncHttpConnection.handle(AsyncHttpConnection.java:82)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.io.nio.SelectChannelEndPoint.handle(SelectChannelEndPoint.java:668)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.eclipse.jetty.io.nio.SelectChannelEndPoint$1.run(SelectChannelEndPoint.java:52)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at winstone.BoundedExecutorService$1.run(BoundedExecutorService.java:77)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:886)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:908)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at java.lang.Thread.run(Thread.java:662)
INFO   | jvm 1    | 2014/01/30 14:46:23 | Caused by: java.lang.OutOfMemoryError: PermGen space
STATUS | wrapper  | 2014/01/30 14:46:23 | The JVM has run out of memory.  Restarting JVM.
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at sun.awt.X11.XToolkit.<clinit>(XToolkit.java:100)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at java.lang.Class.forName0(Native Method)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at java.lang.Class.forName(Class.java:169)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at java.awt.Toolkit$2.run(Toolkit.java:834)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at java.security.AccessController.doPrivileged(Native Method)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at java.awt.Toolkit.getDefaultToolkit(Toolkit.java:826)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at sun.swing.SwingUtilities2$AATextInfo.getAATextInfo(SwingUtilities2.java:122)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at javax.swing.plaf.metal.MetalLookAndFeel.initComponentDefaults(MetalLookAndFeel.java:1554)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at javax.swing.plaf.basic.BasicLookAndFeel.getDefaults(BasicLookAndFeel.java:130)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at javax.swing.plaf.metal.MetalLookAndFeel.getDefaults(MetalLookAndFeel.java:1589)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at javax.swing.UIManager.setLookAndFeel(UIManager.java:514)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at javax.swing.UIManager.setLookAndFeel(UIManager.java:554)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at javax.swing.UIManager.initializeDefaultLAF(UIManager.java:1317)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at javax.swing.UIManager.initialize(UIManager.java:1406)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at javax.swing.UIManager.maybeInitialize(UIManager.java:1394)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at javax.swing.UIManager.getDefaults(UIManager.java:633)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at javax.swing.UIManager.getColor(UIManager.java:675)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.jfree.chart.JFreeChart.<clinit>(JFreeChart.java:252)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.jfree.chart.ChartFactory.createStackedAreaChart(ChartFactory.java:1124)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at hudson.tasks.test.AbstractTestResultAction.createChart(AbstractTestResultAction.java:274)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at hudson.tasks.test.AbstractTestResultAction.doGraph(AbstractTestResultAction.java:222)
